Timestamp, Multiplier
202211070000240001, 1.63
202211070000440001, 1.19
202211070000590001, 1.08
202211070001140001, 4.47
202211070001490001, 1.75
202211070002100001, 1.01
202211070002230001, 2.06
202211070002470001, 1.24
202211070003030001, 2.22
202211070003280001, 1.98
202211070003510001, 1.37
202211070004090001, 7.01
202211070004510001, 1.90
202211070005130001, 1.94
202211070005360001, 1.05
202211070005500001, 2.83
202211070006180001, 1.12
202211070006330001, 1.17
202211070006480001, 1.09
202211070007030001, 1.08
202211070007170001, 3.04
202211070007460001, 4.81
202211070008230001, 1.11
202211070008370001, 1.22
202211070008530001, 1.29
202211070009100001, 4.53
202211070009450001, 1.06
202211070009590001, 1.71
202211070010200001, 236.83
202211070011540001, 1.39
202211070012120001, 1.94
202211070012350001, 1.56
202211070012540001, 12.26
202211070013450001, 1.29
202211070014010001, 1.36
202211070014190001, 1.87
202211070014410001, 1.51
202211070015000001, 2.04
202211070015240001, 7.78
202211070016070001, 1.07
202211070016210001, 3.55
202211070016530001, 20.49
202211070017510001, 1.00
202211070018040001, 1.13
202211070018190001, 1.99
202211070018420001, 1.27
202211070018590001, 1.03
202211070019120001, 1.34
202211070019300001, 1.53
202211070019490001, 1.60
202211070020090001, 1.83
202211070020310001, 1.90
202211070020530001, 3.15
202211070021230001, 6.42
202211070022040001, 1.82
202211070022260001, 6.05
202211070023050001, 2.11
202211070023300001, 1.96
202211070023530001, 1.31
202211070024100001, 5.06
202211070024470001, 3.98
202211070025200001, 1.88
202211070025420001, 9.57
202211070026290001, 23.47
202211070027290001, 1.86
202211070027510001, 2.31
202211070028160001, 1.06
202211070028300001, 1.11
202211070028450001, 2.23
202211070029100001, 1.04
202211070029230001, 3.85
202211070029560001, 1.39
202211070030140001, 2.48
202211070030410001, 5.93
202211070031200001, 1.04
202211070031340001, 1.68
202211070031540001, 1.91
202211070032170001, 4.33
202211070032520001, 1.00
202211070033050001, 1.08
202211070033190001, 5.80
202211070033580001, 10.33
202211070034450001, 9.26
202211070035310001, 1.29
202211070035480001, 1.05
202211070036020001, 1.45
202211070036200001, 251.11
202211070037550001, 2.27
202211070038200001, 1.20
202211070038360001, 256.00
202211070040110001, 1.40
202211070040290001, 24.18
202211070041290001, 4.97
202211070042060001, 1.66
202211070042260001, 2.52
202211070042530001, 1.23
202211070043090001, 256.00
202211070044440001, 10.78
202211070045320001, 6.57
202211070046130001, 1.89
202211070046360001, 1.02
202211070046490001, 2.09
202211070047130001, 1.97
202211070047360001, 5.40
202211070048140001, 2.33
202211070048400001, 1.67
202211070049000001, 1.42
202211070049180001, 1.10
202211070049330001, 1.38
202211070049510001, 1.89
202211070050130001, 1.04
202211070050270001, 4.48
202211070051020001, 10.49
202211070051500001, 2.05
202211070052130001, 1.24
202211070052300001, 1.07
202211070052440001, 1.85
202211070053060001, 1.00
202211070053190001, 3.40
202211070053500001, 8.35
202211070054340001, 1.19
202211070054500001, 2.07
202211070055140001, 2.30
202211070055390001, 159.12
202211070057070001, 1.43
202211070057250001, 1.95
202211070057480001, 1.14
202211070058030001, 4.07
202211070058370001, 2.10
202211070059010001, 1.29
202211070059180001, 1.58
202211070059380001, 2.28
202211070100030001, 1.06
202211070100170001, 3.33
202211070100480001, 1.17
202211070101030001, 3.83
202211070101360001, 1.15
202211070101510001, 1.38
202211070102090001, 13.27
202211070103000001, 6.91
202211070103420001, 1.27
202211070103580001, 1.63
202211070104190001, 1.53
202211070104380001, 3.73
202211070105100001, 1.67
202211070105310001, 1.42
202211070105490001, 1.95
202211070106120001, 1.62
202211070106320001, 3.76
202211070107050001, 1.23
202211070107210001, 2.65
202211070107490001, 11.87
202211070108380001, 2.03
202211070109020001, 1.44
202211070109200001, 3.01
202211070109490001, 1.25
202211070110060001, 3.12
202211070110360001, 1.09
202211070110500001, 1.07
202211070111040001, 1.82
202211070111260001, 2.04
202211070111490001, 40.18
202211070112570001, 1.31
202211070113140001, 81.07
202211070114320001, 1.29
202211070114490001, 4.26
202211070115230001, 1.53
202211070115430001, 2.04
202211070116060001, 11.35
202211070116550001, 1.02
202211070117080001, 16.65
202211070118030001, 2.54
202211070118300001, 1.39
202211070118480001, 1.30
202211070119050001, 1.49
202211070119240001, 1.54
202211070119430001, 1.26
202211070119590001, 1.97
202211070120230001, 1.04
202211070120360001, 27.11
202211070121380001, 4.46
202211070122130001, 42.56
202211070123220001, 1.76
202211070123430001, 1.81
202211070124050001, 4.41
202211070124400001, 1.60
202211070125000001, 1.03
202211070125130001, 38.47
202211070126200001, 1.01
202211070126330001, 2.36
202211070126590001, 3.03
202211070127290001, 1.22
202211070127450001, 3.59
202211070128160001, 5.50
202211070128550001, 1.62
202211070129150001, 12.94
202211070130060001, 1.00
202211070130190001, 2.01
202211070130420001, 9.67
202211070131290001, 2.17
202211070131530001, 1.74
202211070132150001, 2.19
202211070132390001, 5.35
202211070133170001, 2.08
202211070133410001, 3.55
202211070134130001, 4.03
202211070134460001, 21.07
202211070135440001, 3.23
202211070136150001, 5.24
202211070136520001, 1.63
202211070137130001, 1.29
202211070137290001, 1.35
202211070137470001, 8.54
202211070138320001, 74.96
202211070139480001, 1.02
202211070140020001, 2.09
202211070140260001, 4.54
202211070141010001, 4.11
202211070141350001, 6.19
202211070142150001, 1.57
202211070142350001, 1.57
202211070142540001, 2.00
202211070143180001, 4.46
202211070143530001, 2.78
202211070144210001, 1.40
202211070144390001, 4.26
202211070145130001, 2.26
202211070145390001, 2.20
202211070146030001, 10.78
202211070146510001, 1.26
202211070147080001, 3.86
202211070147410001, 1.23
202211070147570001, 3.85
202211070148300001, 2.77
202211070148580001, 7.22
202211070149400001, 1.87
202211070150030001, 7.52
202211070150460001, 1.37
202211070151030001, 1.41
202211070151210001, 1.09
202211070151360001, 1.04
202211070151490001, 6.48
202211070152300001, 1.77
202211070152520001, 17.62
202211070153470001, 1.33
202211070154040001, 9.34
202211070154500001, 102.14
202211070156120001, 3.15
202211070156420001, 1.22
202211070156580001, 1.89
202211070157200001, 1.49
202211070157390001, 5.08
202211070158160001, 2.16
202211070158410001, 2.26
202211070159060001, 1.13
202211070159210001, 1.28
202211070159370001, 1.43
202211070159560001, 1.61
202211070200160001, 1.82
202211070200380001, 1.03
202211070200510001, 4.42
202211070201260001, 6.49
202211070202070001, 1.00
202211070202200001, 1.81
202211070202420001, 1.02
202211070202550001, 2.33
202211070203210001, 1.66
202211070203410001, 3.09
202211070204110001, 1.50
202211070204300001, 3.84
202211070205030001, 4.22
202211070205370001, 10.82
202211070206250001, 1.10
202211070206400001, 46.39
202211070207490001, 1.81
202211070208110001, 3.26
202211070208420001, 12.83
202211070209330001, 1.82
202211070209540001, 9.17
202211070210400001, 1.19
202211070210560001, 1.55
202211070211150001, 2.92
202211070211440001, 1.16
202211070211590001, 1.20
202211070212150001, 122.27
202211070213390001, 2.48
202211070214060001, 1.11
202211070214200001, 1.19
202211070214360001, 1.66
202211070214560001, 4.37
202211070215310001, 1.00
202211070215440001, 1.16
202211070216000001, 1.12
202211070216140001, 1.00
202211070216270001, 1.09
202211070216420001, 1.54
202211070217010001, 4.50
202211070217360001, 1.18
202211070217520001, 1.64
202211070218120001, 27.08
202211070219140001, 1.28
202211070219310001, 1.00
202211070219440001, 1.37
202211070220020001, 2.51
202211070220280001, 2.58
202211070220550001, 1.58
202211070221150001, 12.68
202211070222060001, 1.22
202211070222220001, 7.23
202211070223040001, 1.62
202211070223240001, 5.58
202211070224030001, 2.12
202211070224270001, 1.40
202211070224450001, 2.40
202211070225110001, 1.29
202211070225280001, 4.23
202211070226020001, 3.09
202211070226320001, 1.24
