Timestamp, Multiplier
202211041616090001, 1.13
202211041616230001, 1.07
202211041616370001, 1.75
202211041616590001, 3.19
202211041617290001, 1.01
202211041617420001, 2.53
202211041618090001, 11.68
202211041618580001, 1.29
202211041619150001, 24.35
202211041620150001, 2.23
202211041620400001, 5.74
202211041621190001, 1.52
202211041621380001, 11.35
202211041622270001, 2.14
202211041622520001, 15.63
202211041623450001, 2.36
202211041624110001, 1.23
202211041624270001, 2.05
202211041624510001, 1.21
202211041625070001, 21.87
202211041626050001, 1.05
202211041626190001, 1.66
202211041626400001, 1.16
202211041626550001, 1.93
202211041627180001, 1.44
202211041627360001, 1.14
202211041627510001, 3.58
202211041628230001, 1.38
202211041628410001, 1.05
202211041628540001, 3.40
202211041629260001, 14.62
202211041630180001, 2.40
202211041630440001, 1.93
202211041631070001, 2.61
202211041631340001, 1.37
202211041631520001, 1.35
202211041632090001, 4.99
202211041632460001, 1.30
202211041633030001, 1.18
202211041633190001, 1.26
202211041633350001, 7.28
202211041634180001, 3.17
202211041634480001, 5.61
202211041635260001, 1.74
202211041635470001, 1.45
202211041636060001, 1.81
202211041636280001, 1.00
202211041636410001, 1.13
202211041636560001, 7.73
202211041637390001, 4.80
202211041638150001, 1.06
202211041638290001, 5.06
202211041639060001, 1.46
202211041639250001, 10.07
202211041640120001, 4.81
202211041640480001, 1.14
202211041641030001, 33.19
202211041642080001, 5.18
202211041642450001, 1.74
202211041643060001, 3.79
202211041643390001, 3.15
202211041644090001, 2.36
202211041644350001, 1.18
202211041644500001, 2.22
202211041645150001, 1.59
202211041645350001, 1.07
202211041645490001, 1.25
202211041646050001, 1.11
202211041646200001, 2.52
202211041646470001, 1.70
202211041647080001, 6.08
202211041647470001, 1.00
202211041648000001, 2.10
202211041648240001, 1.33
202211041648420001, 1.27
202211041648580001, 3.37
202211041649290001, 16.29
202211041650240001, 2.62
202211041650510001, 2.29
202211041651160001, 1.29
202211041651330001, 2.36
202211041651590001, 1.16
202211041652140001, 2.49
202211041652400001, 4.65
202211041653160001, 1.62
202211041653360001, 1.94
202211041653590001, 1.24
202211041654150001, 11.07
202211041655040001, 1.50
202211041655230001, 2.54
202211041655500001, 1.31
202211041656070001, 3.02
202211041656360001, 2.01
202211041657000001, 1.58
202211041657190001, 2.77
202211041657470001, 1.00
202211041658010001, 26.41
202211041659020001, 15.20
202211041659550001, 1.05
202211041700090001, 4.17
202211041700430001, 2.69
202211041701110001, 3.75
202211041701440001, 1.14
202211041701590001, 1.95
202211041702210001, 1.67
202211041702420001, 5.22
202211041703200001, 1.92
202211041703420001, 1.41
202211041704000001, 4.93
202211041704370001, 1.04
202211041704510001, 1.62
202211041705110001, 2.48
202211041705370001, 1.21
202211041705530001, 2.09
202211041706170001, 1.31
202211041706340001, 2.37
202211041707000001, 2.91
202211041707290001, 9.59
202211041708150001, 1.53
202211041708340001, 8.98
202211041709200001, 2.01
202211041709430001, 1.17
202211041709590001, 2.61
202211041710260001, 5.36
202211041711040001, 2.16
202211041711280001, 1.24
202211041711440001, 1.79
202211041712060001, 1.44
202211041712250001, 2.75
202211041712530001, 1.75
202211041713140001, 1.10
202211041713280001, 9.99
202211041714150001, 9.87
202211041715020001, 8.57
202211041715470001, 1.43
202211041716050001, 1.47
202211041716240001, 2.62
202211041716510001, 2.44
202211041717180001, 2.78
202211041717460001, 1.50
202211041718050001, 1.02
202211041718180001, 2.58
202211041718450001, 5.05
202211041719220001, 2.17
202211041719470001, 9.97
202211041720340001, 8.80
202211041721190001, 3.42
202211041721500001, 3.62
202211041722220001, 6.92
202211041723040001, 1.30
202211041723210001, 2.06
202211041723440001, 2.67
202211041724120001, 3.16
202211041724420001, 67.46
202211041725570001, 1.15
202211041726130001, 2.55
202211041726390001, 1.34
202211041726570001, 1.43
202211041727150001, 1.99
202211041727380001, 23.22
202211041728380001, 6.84
202211041729190001, 12.54
202211041730100001, 1.49
202211041730290001, 4.43
202211041731040001, 2.22
202211041731280001, 2.51
202211041731550001, 6.21
202211041732350001, 4.36
202211041733100001, 1.65
202211041733300001, 7.72
202211041734140001, 4.35
202211041734480001, 1.08
202211041735030001, 1.77
202211041735240001, 9.09
202211041736100001, 2.41
202211041736360001, 8.10
202211041737200001, 3.10
202211041737500001, 1.23
202211041738060001, 1.02
202211041738190001, 10.09
202211041739060001, 1.43
202211041739240001, 2.52
202211041739510001, 25.63
202211041740520001, 7.71
202211041741350001, 1.68
202211041741560001, 2.88
202211041742250001, 1.68
202211041742450001, 7.11
202211041743270001, 2.66
202211041743550001, 1.24
202211041744110001, 1.08
202211041744250001, 2.85
202211041744540001, 41.30
202211041746020001, 2.04
202211041746250001, 1.26
202211041746420001, 3.30
202211041747130001, 1.15
202211041747280001, 1.15
202211041747430001, 8.89
202211041748280001, 3.91
202211041749010001, 1.18
202211041749170001, 5.19
202211041749540001, 4.33
202211041750290001, 3.98
202211041751020001, 78.47
202211041752200001, 2.81
202211041752480001, 1.11
202211041753030001, 3.15
202211041753330001, 2.15
202211041753570001, 2.93
202211041754260001, 1.44
202211041754450001, 1.23
202211041755010001, 1.14
202211041755160001, 2.09
202211041755400001, 1.09
202211041755540001, 13.52
202211041756450001, 13.49
202211041757370001, 1.98
202211041758000001, 13.36
202211041758510001, 1.28
202211041759080001, 1.40
202211041759260001, 1.32
202211041759430001, 1.17
202211041759590001, 1.59
202211041800180001, 2.88
202211041800470001, 17.10
202211041801420001, 1.50
202211041802010001, 7.59
202211041802440001, 1.26
202211041803010001, 4.00
202211041803340001, 1.35
202211041803520001, 1.56
202211041804110001, 1.24
202211041804270001, 1.10
202211041804420001, 18.38
202211041805380001, 1.50
202211041805570001, 4.10
202211041806310001, 46.60
202211041807410001, 1.94
202211041808040001, 3.48
202211041808350001, 1.11
202211041808500001, 1.00
202211041809030001, 4.91
202211041809390001, 1.03
202211041809530001, 2.03
202211041810160001, 1.22
202211041810320001, 3.21
202211041811030001, 2.87
202211041811310001, 2.71
202211041811590001, 1.52
202211041812180001, 2.37
202211041812440001, 5.74
202211041813230001, 3.50
202211041813550001, 12.62
202211041814450001, 1.11
202211041815000001, 3.17
202211041815300001, 3.26
202211041816000001, 1.00
202211041816130001, 2.15
202211041816380001, 1.91
202211041817000001, 2.04
202211041817240001, 1.41
202211041817420001, 4.74
202211041818180001, 1.39
202211041818360001, 2.64
202211041819030001, 1.91
202211041819260001, 1.43
202211041819440001, 3.52
202211041820160001, 2.29
202211041820410001, 1.20
202211041820570001, 2.46
202211041821230001, 9.35
202211041822090001, 1.50
202211041822280001, 3.74
202211041823010001, 1.65
202211041823210001, 3.99
202211041823550001, 1.44
202211041824130001, 1.13
202211041824280001, 1.11
202211041824430001, 1.56
202211041825020001, 3.38
202211041825330001, 3.17
202211041826030001, 3.67
202211041826360001, 2.72
202211041827030001, 2.32
202211041827290001, 3.87
202211041828020001, 1.04
202211041828150001, 1.19
202211041828310001, 1.07
202211041828450001, 13.31
202211041829360001, 2.44
202211041830030001, 4.07
202211041830360001, 1.25
202211041830530001, 1.37
202211041831100001, 29.97
202211041832140001, 1.33
202211041832310001, 1.09
202211041832450001, 7.30
202211041833280001, 1.11
202211041833420001, 3.93
202211041834160001, 3.52
202211041834470001, 7.91
202211041835310001, 1.56
202211041835500001, 2.88
202211041836190001, 3.40
202211041836500001, 1.08
202211041837040001, 2.08
202211041837280001, 2.44
202211041837540001, 3.95
202211041838280001, 1.23
202211041838440001, 1.64
202211041839040001, 2.45
202211041839310001, 4.98
202211041840070001, 1.30
202211041840240001, 1.00
202211041840370001, 1.46
202211041840560001, 1.87
202211041841180001, 1.85
202211041841400001, 2.74
202211041842080001, 1.29
202211041842250001, 1.92
202211041842480001, 1.37
202211041843060001, 7.68
202211041843490001, 1.07
202211041844030001, 1.20
202211041844180001, 1.75
202211041844400001, 2.25
202211041845050001, 1.14
202211041845200001, 1.36
202211041845370001, 2.12
202211041846020001, 1.28
202211041846180001, 22.79
202211041847180001, 1.27
202211041847340001, 4.81
202211041848100001, 3.51
202211041848420001, 1.13
202211041848570001, 2.52
202211041849240001, 1.29
202211041849400001, 9.69
202211041850270001, 1.39
202211041850450001, 2.33
202211041851100001, 1.17
202211041851260001, 3.20
202211041851560001, 10.41
202211041852440001, 2.03
202211041853070001, 2.08
202211041853310001, 1.42
202211041853490001, 3.35
202211041854200001, 1.00
202211041854330001, 1.00
202211041854460001, 50.32
202211041855570001, 9.56
202211041856440001, 1.33
202211041857010001, 1.33
202211041857180001, 1.04
202211041857320001, 1.41
202211041857500001, 1.16
202211041858050001, 4.58
202211041858410001, 11.86
202211041859300001, 1.24
202211041859470001, 256.00
202211041901220001, 24.43
202211041902220001, 4.38
202211041902570001, 1.18
202211041903120001, 2.08
202211041903360001, 3.89
202211041904090001, 1.01
202211041904220001, 1.11
202211041904370001, 1.22
202211041904530001, 2.93
202211041905220001, 2.59
202211041905490001, 27.87
202211041906510001, 1.13
202211041907060001, 2.30
202211041907310001, 22.80
202211041908310001, 1.90
202211041908530001, 4.80
202211041909290001, 3.81
202211041910020001, 4.85
202211041910390001, 9.73
202211041911250001, 1.13
202211041911400001, 2.43
202211041912060001, 84.82
202211041913250001, 1.76
202211041913460001, 1.87
202211041914090001, 2.32
202211041914340001, 1.86
202211041914560001, 1.21
202211041915120001, 2.98
202211041915420001, 2.47
202211041916080001, 1.08
202211041916220001, 1.36
202211041916400001, 5.57
202211041917180001, 3.65
202211041917500001, 8.25
202211041918350001, 1.22
202211041918510001, 1.37
202211041919080001, 1.18
202211041919240001, 1.58
202211041919440001, 1.09
202211041919580001, 3.28
202211041920280001, 1.29
202211041920450001, 19.37
202211041921420001, 1.17
202211041921580001, 3.06
202211041922270001, 1.03
202211041922410001, 2.10
202211041923050001, 6.84
202211041923460001, 13.35
202211041924380001, 3.04
202211041925070001, 1.31
202211041925240001, 1.71
202211041925450001, 1.26
202211041926020001, 2.50
202211041926280001, 1.01
202211041926410001, 1.47
202211041927000001, 3.97
202211041927330001, 1.09
202211041927480001, 17.26
202211041928430001, 1.90
202211041929050001, 2.00
202211041929290001, 1.25
202211041929450001, 1.13
202211041930000001, 1.68
202211041930200001, 7.05
202211041931020001, 1.18
202211041931180001, 2.71
202211041931460001, 2.77
202211041932140001, 3.60
202211041932460001, 1.48
202211041933050001, 1.20
202211041933200001, 1.82
202211041933420001, 2.40
202211041934080001, 1.23
202211041934240001, 2.48
202211041934510001, 4.70
202211041935270001, 1.30
202211041935440001, 4.49
202211041936190001, 1.05
202211041936330001, 9.26
202211041937180001, 1.81
202211041937400001, 1.18
202211041937560001, 1.92
202211041938180001, 1.00
202211041938320001, 12.97
202211041939220001, 20.04
202211041940200001, 3.18
202211041940500001, 7.56
202211041941330001, 2.13
202211041941570001, 1.19
202211041942130001, 1.76
202211041942340001, 1.06
202211041942480001, 1.66
202211041943080001, 11.70
202211041943580001, 1.50
202211041944170001, 4.43
202211041944520001, 1.49
202211041945110001, 4.81
202211041945470001, 12.18
202211041946370001, 4.04
202211041947110001, 4.29
202211041947450001, 3.40
202211041948160001, 4.02
202211041948500001, 2.21
202211041949150001, 1.03
202211041949280001, 225.36
202211041951010001, 1.57
202211041951210001, 2.39
202211041951470001, 2.16
202211041952110001, 1.01
202211041952250001, 1.06
202211041952390001, 1.75
202211041953000001, 1.49
202211041953190001, 1.89
202211041953410001, 8.22
202211041954250001, 1.45
202211041954440001, 1.00
202211041954570001, 2.43
202211041955230001, 1.48
