Timestamp, Multiplier
202211050056200001, 26.61
202211050057220001, 1.00
202211050057350001, 1.05
202211050057480001, 14.54
202211050058410001, 1.44
202211050058590001, 14.45
202211050059520001, 6.56
202211050100330001, 1.17
202211050100480001, 2.30
202211050101140001, 1.63
202211050101340001, 1.54
202211050101530001, 5.51
202211050102320001, 1.00
202211050102450001, 1.10
202211050102590001, 2.22
202211050103240001, 1.19
202211050103400001, 2.90
202211050104080001, 67.40
202211050105240001, 4.67
202211050106000001, 1.31
202211050106170001, 2.37
202211050106420001, 1.14
202211050106570001, 1.08
202211050107120001, 2.13
202211050107360001, 13.45
202211050108270001, 13.90
202211050109190001, 8.24
202211050110030001, 2.09
202211050110270001, 1.01
202211050110400001, 8.00
202211050111240001, 1.18
202211050111400001, 2.54
202211050112070001, 4.66
202211050112420001, 1.19
202211050112580001, 5.82
202211050113370001, 1.16
202211050113520001, 1.51
202211050114110001, 1.14
202211050114260001, 5.19
202211050115040001, 3.68
202211050115360001, 1.47
202211050115550001, 1.26
202211050116110001, 2.21
202211050116360001, 2.46
202211050117020001, 1.34
202211050117200001, 2.05
202211050117440001, 2.04
202211050118070001, 1.14
202211050118220001, 1.03
202211050118360001, 1.76
202211050118570001, 2.59
202211050119240001, 50.68
202211050120350001, 1.10
202211050120500001, 3.58
202211050121220001, 2.22
202211050121460001, 1.17
202211050122020001, 1.35
202211050122190001, 2.91
202211050122480001, 2.56
202211050123150001, 1.00
202211050123280001, 1.18
202211050123440001, 2.61
202211050124110001, 25.79
202211050125120001, 9.77
202211050125590001, 6.18
202211050126390001, 1.41
202211050126570001, 6.17
202211050127370001, 1.90
202211050127590001, 4.57
202211050128350001, 1.14
202211050128500001, 1.69
202211050129100001, 256.00
202211050130450001, 4.26
202211050131200001, 1.06
202211050131340001, 1.00
202211050131470001, 22.13
202211050132460001, 16.35
202211050133400001, 1.41
202211050133580001, 1.89
202211050134210001, 3.79
202211050134530001, 4.03
202211050135270001, 1.31
202211050135440001, 4.08
202211050136180001, 1.14
202211050136330001, 1.14
202211050136480001, 1.61
202211050137080001, 22.55
202211050138070001, 1.12
202211050138220001, 3.61
202211050138540001, 45.78
202211050140030001, 146.63
202211050141300001, 1.12
202211050141450001, 5.73
202211050142240001, 25.82
202211050143250001, 8.31
202211050144090001, 1.89
202211050144320001, 1.86
202211050144540001, 3.88
202211050145270001, 19.96
202211050146240001, 2.43
202211050146500001, 1.15
202211050147050001, 1.38
202211050147230001, 2.35
202211050147490001, 1.04
202211050148030001, 1.37
202211050148200001, 256.00
202211050149550001, 1.93
202211050150180001, 1.52
202211050150370001, 2.67
202211050151050001, 1.04
202211050151180001, 1.05
202211050151320001, 26.97
202211050152340001, 2.27
202211050152590001, 2.90
202211050153280001, 5.52
202211050154060001, 3.02
202211050154360001, 1.70
202211050154570001, 1.52
202211050155160001, 3.92
202211050155490001, 1.53
202211050156080001, 1.31
202211050156250001, 1.40
202211050156430001, 1.37
202211050157010001, 2.91
202211050157300001, 1.02
202211050157430001, 7.92
202211050158270001, 1.42
202211050158450001, 1.04
202211050158580001, 7.48
202211050159410001, 2.28
202211050200060001, 1.10
202211050200210001, 1.00
202211050200340001, 3.16
202211050201040001, 1.72
202211050201250001, 2.68
202211050201530001, 3.38
202211050202240001, 21.22
202211050203220001, 32.28
202211050204260001, 1.87
202211050204490001, 1.66
202211050205090001, 1.03
202211050205230001, 2.57
202211050205500001, 6.93
202211050206310001, 14.50
202211050207240001, 1.39
202211050207420001, 3.74
202211050208140001, 1.91
202211050208370001, 1.03
202211050208510001, 4.73
202211050209270001, 2.94
202211050209560001, 2.37
202211050210210001, 3.61
202211050210530001, 1.04
202211050211070001, 1.55
202211050211260001, 1.60
202211050211460001, 4.31
202211050212210001, 5.08
202211050212580001, 1.35
202211050213160001, 8.88
202211050214010001, 4.94
202211050214380001, 2.22
202211050215020001, 1.45
202211050215210001, 1.34
202211050215380001, 3.54
202211050216100001, 3.44
202211050216410001, 6.99
202211050217230001, 1.21
202211050217390001, 11.26
202211050218280001, 5.55
202211050219060001, 1.78
202211050219280001, 1.18
202211050219430001, 1.23
202211050219590001, 1.00
202211050220130001, 5.29
202211050220500001, 2.98
202211050221190001, 2.73
202211050221470001, 10.52
202211050222350001, 14.74
202211050223280001, 3.54
202211050224000001, 2.53
202211050224260001, 2.72
202211050224540001, 2.74
202211050225220001, 1.67
202211050225430001, 3.77
202211050226150001, 2.14
202211050226400001, 5.01
202211050227170001, 7.93
202211050228000001, 4.50
202211050228360001, 4.58
202211050229110001, 1.76
202211050229330001, 22.37
202211050230320001, 1.06
202211050230450001, 1.61
202211050231060001, 1.81
202211050231270001, 3.29
202211050231580001, 7.51
202211050232410001, 1.76
202211050233020001, 3.53
202211050233340001, 3.78
202211050234070001, 32.90
202211050235110001, 2.68
202211050235390001, 1.15
202211050235540001, 11.00
202211050236420001, 2.71
202211050237100001, 3.02
202211050237400001, 1.92
202211050238020001, 1.04
202211050238160001, 1.04
202211050238300001, 2.01
202211050238530001, 1.26
202211050239090001, 1.16
202211050239250001, 10.41
202211050240120001, 1.21
202211050240280001, 1.38
202211050240460001, 1.21
202211050241020001, 4.71
202211050241380001, 1.00
202211050241510001, 1.31
202211050242080001, 1.03
202211050242220001, 1.33
202211050242390001, 1.02
202211050242520001, 1.27
202211050243090001, 1.05
202211050243230001, 2.14
202211050243470001, 1.21
202211050244030001, 1.63
202211050244230001, 1.14
202211050244380001, 3.20
202211050245080001, 1.39
202211050245260001, 3.99
202211050246000001, 1.19
202211050246150001, 1.92
202211050246380001, 9.23
202211050247240001, 6.33
202211050248040001, 8.08
202211050248480001, 2.85
202211050249170001, 1.50
202211050249360001, 1.34
202211050249530001, 1.12
202211050250080001, 6.76
202211050250490001, 1.77
202211050251100001, 2.28
202211050251360001, 1.06
202211050251500001, 1.00
202211050252030001, 3.29
202211050252330001, 1.03
202211050252470001, 1.87
202211050253090001, 1.19
202211050253250001, 1.55
202211050253440001, 5.09
202211050254210001, 1.18
202211050254370001, 3.45
202211050255080001, 7.80
202211050255520001, 36.43
202211050256580001, 2.21
202211050257230001, 1.00
202211050257360001, 3.21
202211050258060001, 2.32
202211050258310001, 6.28
202211050259120001, 1.84
202211050259340001, 1.33
202211050259510001, 1.68
202211050300120001, 3.33
202211050300430001, 3.33
202211050301130001, 1.45
202211050301320001, 2.17
202211050301560001, 4.16
202211050302300001, 3.99
202211050303040001, 27.99
202211050304060001, 8.09
202211050304500001, 1.59
202211050305100001, 4.07
202211050305440001, 1.50
202211050306030001, 162.41
202211050307310001, 1.20
202211050307470001, 1.66
202211050308070001, 1.89
202211050308300001, 1.00
202211050308430001, 1.09
202211050308570001, 80.23
202211050310150001, 1.48
202211050310340001, 1.04
202211050310480001, 1.31
202211050311050001, 1.13
202211050311190001, 1.19
202211050311350001, 2.09
202211050311590001, 1.08
202211050312130001, 3.59
202211050312450001, 1.48
202211050313040001, 8.92
202211050313490001, 1.53
202211050314080001, 1.68
202211050314290001, 3.94
202211050315020001, 8.48
202211050315470001, 4.33
202211050316220001, 1.97
202211050316450001, 1.00
202211050316580001, 2.50
202211050317250001, 1.45
202211050317430001, 6.25
202211050318230001, 1.71
202211050318440001, 1.94
202211050319070001, 5.01
202211050319440001, 1.02
202211050319570001, 1.86
202211050320190001, 7.15
202211050321010001, 2.07
202211050321250001, 1.83
202211050321470001, 4.14
202211050322210001, 256.00
202211050323560001, 1.33
202211050324140001, 1.59
202211050324330001, 1.96
202211050324560001, 1.00
202211050325100001, 2.89
202211050325380001, 1.09
202211050325530001, 1.26
202211050326090001, 1.88
202211050326310001, 1.30
202211050326480001, 1.05
202211050327020001, 2.37
202211050327280001, 1.71
202211050327490001, 2.08
202211050328130001, 7.46
202211050328560001, 1.28
202211050329120001, 2.70
202211050329400001, 2.21
202211050330050001, 1.20
202211050330210001, 1.17
202211050330360001, 3.21
202211050331060001, 1.54
202211050331260001, 2.98
202211050331550001, 1.25
202211050332110001, 14.68
202211050333040001, 1.19
202211050333200001, 1.34
202211050333370001, 1.24
202211050333530001, 1.11
202211050334080001, 9.06
202211050334530001, 1.46
202211050335120001, 3.02
202211050335410001, 1.81
202211050336030001, 1.16
202211050336180001, 2.53
202211050336450001, 1.31
202211050337020001, 1.67
202211050337230001, 3.57
202211050337550001, 19.07
202211050338510001, 2.40
202211050339170001, 1.91
202211050339400001, 2.25
202211050340050001, 4.03
202211050340380001, 1.33
202211050340560001, 9.47
202211050341420001, 1.15
202211050341570001, 1.98
202211050342200001, 5.40
202211050342580001, 34.16
202211050344030001, 19.38
202211050345000001, 168.23
202211050346290001, 3.66
202211050347010001, 2.28
202211050347270001, 6.88
202211050348080001, 1.20
202211050348240001, 1.21
202211050348400001, 1.80
202211050349010001, 1.14
202211050349160001, 2.93
202211050349450001, 1.09
202211050350000001, 2.51
202211050350260001, 3.39
202211050350570001, 1.06
202211050351110001, 7.25
202211050351540001, 1.25
202211050352100001, 2.32
202211050352350001, 2.14
202211050353000001, 1.44
202211050353180001, 2.22
202211050353430001, 1.83
202211050354050001, 1.16
202211050354200001, 36.66
202211050355260001, 1.12
202211050355410001, 2.66
202211050356090001, 13.82
202211050357000001, 2.37
202211050357260001, 1.19
202211050357420001, 3.37
202211050358130001, 14.21
202211050359050001, 1.02
202211050359180001, 6.00
202211050359580001, 1.85
202211050400200001, 1.03
202211050400340001, 256.00
202211050402090001, 1.00
202211050402220001, 1.25
202211050402380001, 1.79
